Name;ATR1;ATR2;ATR3;ATR4
Spectrum;20Case;20Key
Operation;20Hydra;20Case
AK-47;20Redline;28Field-Tested
AK-47;20Frontside;20Misty;28Field-Tested
AWP;20Asiimov;28Field-Tested
Glove;20Case;20Key
M4A1-S;20Decimator;28Field-Tested
Krakow;202017;20Cobblestone;20Souvenir;20Package
AWP;20Fever;20Dream;28Field-Tested
Spectrum;20Case;20Key
Operation;20Hydra;20Case
AK-47;20Redline;28Field-Tested
AK-47;20Frontside;20Misty;28Field-Tested
AWP;20Asiimov;28Field-Tested
Glove;20Case;20Key
M4A1-S;20Decimator;28Field-Tested
Krakow;202017;20Cobblestone;20Souvenir;20Package
AWP;20Fever;20Dream;28Field-Tested
Spectrum;20Case;20Key
Operation;20Hydra;20Case
AK-47;20Redline;28Field-Tested
AK-47;20Frontside;20Misty;28Field-Tested
AWP;20Asiimov;28Field-Tested
Glove;20Case;20Key
M4A1-S;20Decimator;28Field-Tested
Krakow;202017;20Cobblestone;20Souvenir;20Package
AWP;20Fever;20Dream;28Field-Tested
Spectrum;20Case;20Key
Operation;20Hydra;20Case
AK-47;20Redline;28Field-Tested
AK-47;20Frontside;20Misty;28Field-Tested
AWP;20Asiimov;28Field-Tested
Glove;20Case;20Key
M4A1-S;20Decimator;28Field-Tested
Krakow;202017;20Cobblestone;20Souvenir;20Package
AWP;20Fever;20Dream;28Field-Tested
Spectrum;20Case;20Key
Operation;20Hydra;20Case
AK-47;20Redline;28Field-Tested
AK-47;20Frontside;20Misty;28Field-Tested
AWP;20Asiimov;28Field-Tested
Glove;20Case;20Key
M4A1-S;20Decimator;28Field-Tested
Krakow;202017;20Cobblestone;20Souvenir;20Package
AWP;20Fever;20Dream;28Field-Tested
Spectrum;20Case;20Key
Operation;20Hydra;20Case
AK-47;20Redline;28Field-Tested
AK-47;20Frontside;20Misty;28Field-Tested
AWP;20Asiimov;28Field-Tested
Glove;20Case;20Key
M4A1-S;20Decimator;28Field-Tested
Krakow;202017;20Cobblestone;20Souvenir;20Package
AWP;20Fever;20Dream;28Field-Tested
Spectrum;20Case;20Key
Operation;20Hydra;20Case
AK-47;20Redline;28Field-Tested
AK-47;20Frontside;20Misty;28Field-Tested
AWP;20Asiimov;28Field-Tested
Glove;20Case;20Key
M4A1-S;20Decimator;28Field-Tested
Krakow;202017;20Cobblestone;20Souvenir;20Package
AWP;20Fever;20Dream;28Field-Tested
Spectrum;20Case;20Key
Operation;20Hydra;20Case
AK-47;20Redline;28Field-Tested
AK-47;20Frontside;20Misty;28Field-Tested
AWP;20Asiimov;28Field-Tested
Glove;20Case;20Key
M4A1-S;20Decimator;28Field-Tested
Krakow;202017;20Cobblestone;20Souvenir;20Package
AWP;20Fever;20Dream;28Field-Tested
Spectrum;20Case;20Key
Operation;20Hydra;20Case
;E2;98;85;20Karambit;20Doppler
AK-47;20Redline;28Field-Tested
AWP;20Asiimov;28Field-Tested
M4A1-S;20Decimator;28Field-Tested
Operation;20Hydra;20Case;20Key
AK-47;20Orbit;20Mk01;28Field-Tested
AWP;20Fever;20Dream;28Minimal;20Wear
Spectrum;20Case;20Key
Operation;20Hydra;20Case
AK-47;20Redline;28Field-Tested
AK-47;20Frontside;20Misty;28Field-Tested
AWP;20Asiimov;28Field-Tested
Glove;20Case;20Key
M4A1-S;20Decimator;28Field-Tested
Krakow;202017;20Cobblestone;20Souvenir;20Package
AWP;20Fever;20Dream;28Field-Tested
Spectrum;20Case;20Key
Operation;20Hydra;20Case
AK-47;20Redline;28Field-Tested
AK-47;20Frontside;20Misty;28Field-Tested
AWP;20Asiimov;28Field-Tested
Glove;20Case;20Key
M4A1-S;20Decimator;28Field-Tested
Krakow;202017;20Cobblestone;20Souvenir;20Package
AWP;20Fever;20Dream;28Field-Tested
Spectrum;20Case;20Key
Operation;20Hydra;20Case
AK-47;20Redline;28Field-Tested
AK-47;20Frontside;20Misty;28Field-Tested
AWP;20Asiimov;28Field-Tested
Glove;20Case;20Key
M4A1-S;20Decimator;28Field-Tested
Krakow;202017;20Cobblestone;20Souvenir;20Package
AWP;20Fever;20Dream;28Field-Tested
Spectrum;20Case;20Key
Operation;20Hydra;20Case
AK-47;20Redline;28Field-Tested
AK-47;20Frontside;20Misty;28Field-Tested
AWP;20Asiimov;28Field-Tested
Glove;20Case;20Key
M4A1-S;20Decimator;28Field-Tested
Krakow;202017;20Cobblestone;20Souvenir;20Package
AWP;20Fever;20Dream;28Field-Tested
Spectrum;20Case;20Key
Operation;20Hydra;20Case
AK-47;20Redline;28Field-Tested
AK-47;20Frontside;20Misty;28Field-Tested
AWP;20Asiimov;28Field-Tested
Glove;20Case;20Key
M4A1-S;20Decimator;28Field-Tested
Krakow;202017;20Cobblestone;20Souvenir;20Package
AWP;20Fever;20Dream;28Field-Tested
Spectrum;20Case;20Key
Operation;20Hydra;20Case
AK-47;20Redline;28Field-Tested
AK-47;20Frontside;20Misty;28Field-Tested
AWP;20Asiimov;28Field-Tested
Glove;20Case;20Key
M4A1-S;20Decimator;28Field-Tested
Krakow;202017;20Cobblestone;20Souvenir;20Package
AWP;20Fever;20Dream;28Field-Tested
Spectrum;20Case;20Key
Operation;20Hydra;20Case
AK-47;20Redline;28Field-Tested
AK-47;20Frontside;20Misty;28Field-Tested
AWP;20Asiimov;28Field-Tested
Glove;20Case;20Key
M4A1-S;20Decimator;28Field-Tested
Krakow;202017;20Cobblestone;20Souvenir;20Package
AWP;20Fever;20Dream;28Field-Tested
Spectrum;20Case;20Key
Operation;20Hydra;20Case
AK-47;20Redline;28Field-Tested
AK-47;20Frontside;20Misty;28Field-Tested
AWP;20Asiimov;28Field-Tested
Glove;20Case;20Key
M4A1-S;20Decimator;28Field-Tested
Krakow;202017;20Cobblestone;20Souvenir;20Package
AWP;20Fever;20Dream;28Field-Tested
Spectrum;20Case;20Key
Operation;20Hydra;20Case
AK-47;20Redline;28Field-Tested
AK-47;20Frontside;20Misty;28Field-Tested
AWP;20Asiimov;28Field-Tested
Glove;20Case;20Key
M4A1-S;20Decimator;28Field-Tested
Krakow;202017;20Cobblestone;20Souvenir;20Package
AWP;20Fever;20Dream;28Field-Tested
Spectrum;20Case;20Key
Operation;20Hydra;20Case
AK-47;20Redline;28Field-Tested
AK-47;20Frontside;20Misty;28Field-Tested
AWP;20Asiimov;28Field-Tested
Glove;20Case;20Key
M4A1-S;20Decimator;28Field-Tested
Krakow;202017;20Cobblestone;20Souvenir;20Package
AWP;20Fever;20Dream;28Field-Tested
Spectrum;20Case;20Key
Operation;20Hydra;20Case
AK-47;20Redline;28Field-Tested
AK-47;20Frontside;20Misty;28Field-Tested
AWP;20Asiimov;28Field-Tested
Glove;20Case;20Key
M4A1-S;20Decimator;28Field-Tested
Krakow;202017;20Cobblestone;20Souvenir;20Package
AWP;20Fever;20Dream;28Field-Tested
Spectrum;20Case;20Key
Operation;20Hydra;20Case
AK-47;20Redline;28Field-Tested
AK-47;20Frontside;20Misty;28Field-Tested
AWP;20Asiimov;28Field-Tested
Glove;20Case;20Key
M4A1-S;20Decimator;28Field-Tested
Krakow;202017;20Cobblestone;20Souvenir;20Package
AWP;20Fever;20Dream;28Field-Tested
Spectrum;20Case;20Key
Operation;20Hydra;20Case
AK-47;20Redline;28Field-Tested
AK-47;20Frontside;20Misty;28Field-Tested
AWP;20Asiimov;28Field-Tested
Glove;20Case;20Key
M4A1-S;20Decimator;28Field-Tested
Krakow;202017;20Cobblestone;20Souvenir;20Package
AWP;20Fever;20Dream;28Field-Tested
Spectrum;20Case;20Key
Operation;20Hydra;20Case
AK-47;20Redline;28Field-Tested
AK-47;20Frontside;20Misty;28Field-Tested
AWP;20Asiimov;28Field-Tested
Glove;20Case;20Key
M4A1-S;20Decimator;28Field-Tested
Krakow;202017;20Cobblestone;20Souvenir;20Package
AWP;20Fever;20Dream;28Field-Tested
Spectrum;20Case;20Key
